Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.769278	-1.49873	0.327958	0.103386	-0.13024	0.0211078	0.0954399	0.0012613	-0.0307766	-0.00180474	-0.00224798	0.00406453	-0.0219079	0.197798	-0.398939	0.433297	
0.769239	-1.49868	0.32795	0.103425	-0.130291	0.0211161	0.205948	0.0262576	-0.0415158	-0.00178765	-0.00222655	0.00402314	-0.0220241	0.197831	-0.398938	0.433297	
0.767429	-1.49638	0.327576	0.105236	-0.13259	0.0214903	0.149035	0.0128728	-0.0364643	-0.00190423	-0.00236222	0.00414058	-0.027584	0.199198	-0.398895	0.43735	
0.761726	-1.48914	0.326396	0.110939	-0.139837	0.0226698	0.0234297	-0.0166533	-0.0254115	-0.00210886	-0.00258721	0.00414233	-0.0450784	0.203513	-0.398757	0.449508	
0.761855	-1.4893	0.326423	0.11081	-0.139673	0.0226431	0.204889	0.0235057	-0.0437383	-0.00215108	-0.00263959	0.00423449	-0.0446813	0.203416	-0.39876	0.449508	
0.769223	-1.49866	0.327946	0.103442	-0.130312	0.0211195	0.436279	0.0772774	-0.0650415	-0.00178926	-0.00222846	0.00402543	-0.0220742	0.197844	-0.398937	0.433333	
0.758124	-1.48456	0.325651	0.11454	-0.144416	0.0234153	-0.147123	-0.0553289	-0.00924679	-0.00237633	-0.00289781	0.00439714	-0.056116	0.206245	-0.39867	0.457613	
0.758086	-1.48451	0.325642	0.114579	-0.144466	0.0234237	0.196674	0.0205316	-0.0439594	-0.00230815	-0.00281464	0.00426865	-0.0562297	0.206278	-0.398669	0.457613	
0.756235	-1.48215	0.325259	0.116429	-0.146821	0.0238071	0.139004	0.0073212	-0.0385844	-0.00249153	-0.00302963	0.00447399	-0.0618947	0.207687	-0.398623	0.461666	
0.750078	-1.47431	0.323982	0.122587	-0.154659	0.0250841	0.00138444	-0.0241524	-0.0258514	-0.00272696	-0.0032882	0.00446305	-0.0807278	0.212385	-0.398471	0.473824	
0.750377	-1.47469	0.324044	0.122288	-0.154279	0.0250222	0.200542	0.0187076	-0.0468058	-0.00277239	-0.00334438	0.00455744	-0.0798115	0.212158	-0.398479	0.473824	
0.753801	-1.47905	0.324754	0.118864	-0.149919	0.0243118	0.299418	0.0409594	-0.0564143	-0.00257127	-0.00311568	0.00444687	-0.0693438	0.209542	-0.398563	0.466667	
